i t_now Tx Ty Tz theta_x_filt theta_y_filt 
2487 13.393220901489258 -0.11097124564410689 -0.003319717967538789 0.0 0.0007114388137267366 0.005433107853740463 
2488 13.398450374603271 -0.13804815355442052 -0.0018717324786175428 0.0 0.0005335791102950525 0.007957719594843694 
2489 13.403684616088867 -0.1628745789865783 -0.0007857433619266089 0.0 0.00040018433272128937 0.010282609858071438 
2490 13.409141540527344 -0.1844341313135573 2.874847559159203e-05 0.0 0.000300138249540967 0.012361836804416501 
2491 13.414617538452148 -0.20347400935797008 0.0006396173537302429 0.0 0.00022510368715572527 0.014208877364893797 
2492 13.419951438903809 -0.21491968313206816 0.0010977690123342306 0.0 0.00016882776536679395 0.015594157785251769 
2493 13.42534351348877 -0.2276701221280365 0.0014413827562872218 0.0 0.00012662082402509548 0.01682486624276268 
2494 13.430670261383057 -0.2363901222891263 0.0016990930642519647 0.0 9.496561801882161e-05 0.01779583462145647 
2495 13.43591022491455 -0.24352581185567768 0.0018923757952255223 0.0 7.122421351411621e-05 0.01857199794103742 
2496 13.441208124160767 -0.24947367594112746 0.00203733784345569 0.0 5.341816013558716e-05 0.019202057466283742 
2497 13.446464538574219 -0.25350002465119803 0.002146059379628316 0.0 4.006362010169037e-05 0.019674602110218483 
2498 13.45172381401062 -0.259657728310703 0.0022276005317577855 0.0 3.004771507626778e-05 0.020172819837206212 
2499 13.456942319869995 -0.26700817191255 0.0022887563958548874 0.0 2.2535786307200836e-05 0.02073823127468944 
2500 13.462249517440796 -0.274775411348305 0.0023346232939277147 0.0 1.6901839730400625e-05 0.021354037995044296 
2501 13.467638492584229 -0.2807947700599893 0.002369023467482334 0.0 1.2676379797800469e-05 0.021911767106431654 
2502 13.47292971611023 -0.28440066641072664 0.0023948235976482993 0.0 9.507284848350352e-06 0.02233006393997217 
2503 13.478232860565186 -0.28303099178454455 0.002414173695272773 0.0 7.1304636362627636e-06 0.022452038422885127 
2504 13.483492136001587 -0.27778338303017747 0.0024286862684911284 0.0 5.347847727197072e-06 0.022255897071706197 
2505 13.488760471343994 -0.2664594447473521 0.002439570698404895 0.0 4.010885795397804e-06 0.02162942256536107 
2506 13.494001150131226 -0.25042954002325496 0.002447734020840219 0.0 3.0081643465483534e-06 0.020584324121520076 
2507 13.499239921569824 -0.24419661630718237 0.0024538565126667133 0.0 2.2561232599112652e-06 0.019800500288639333 
2508 13.504616260528564 -0.21275168586847426 0.002458448381536583 0.0 1.692092444933449e-06 0.017966273214693268 
2509 13.510101795196533 -0.1872233530170116 0.002461892283188986 0.0 1.2690693337000866e-06 0.015919486274030357 
2510 13.51552963256836 -0.12222547042572446 0.0024644752094282883 0.0 9.518020002750649e-07 0.011939614705522768 
2511 13.521178960800171 -0.09792487211236321 0.0024664124041077645 0.0 7.138515002062987e-07 0.008954711029142077 
