i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 phi_x phi_y x y dx dy theta_d_x theta_d_y Kp_in_x Ki_in_x Kd_in_x Kp_in_y Ki_in_y Kd_in_y Kp_out_x Ki_out_x Kd_out_x Kp_out_y Ki_out_y Kd_out_y Kp_yaw Ki_yaw Kd_yaw
21 0.11126875877380371 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010183246876279781 -0.013055379090371234 0.1640921162812526 -0.25104691294311293 0.0715273327379819 0.0 -0.29840355752182685 0.0 -0.10448162725049424 -0.09494236266902766 -0.012642276897309804 -0.011488025882952346 -0.04397313703412113 -0.05077580500752396 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
22 0.11654996871948242 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01255266782372014 -0.01396915012458712 0.1640921162812526 -0.2524494096634655 0.0715273327379819 0.2763540335670121 -0.2763540335670121 0.0 -0.10493589519506161 -0.09520463438910787 -0.012697243318602454 -0.011519760761082052 -0.010993284258530023 -0.006346975625941276 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
23 0.12187981605529785 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.014818009237818817 -0.01474751051580757 0.16549461300160517 -0.2538519063838181 0.0715273327379819 0.29840355752182685 -0.29840355752182685 0.0 -0.10539016313962897 -0.0959914495493484 -0.012752209739895106 -0.011614965395471157 -0.01099328425853037 -0.01904092687782105 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
24 0.12714672088623047 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.017020902931912482 -0.015521323778127729 0.16689710972195776 -0.2552544031041707 0.0715273327379819 0.0 -0.2641734263237119 -0.2641734263237119 -0.10584443108419635 -0.09677826470958897 -0.012807176161187758 -0.011710170029860266 -0.01099328425853037 -0.019040926877821746 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
25 0.13239097595214844 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01918632799400314 -0.016215709506210742 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.2977067969332597 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 -0.012693951251880817 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
26 0.1376187801361084 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02140597113378897 -0.016939137970648444 0.16829960644231035 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09782735158990974 -0.012807176161187758 -0.011837109542379078 0.0 -0.01269395125188151 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
27 0.14285969734191895 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.023658148100424138 -0.017679992076898954 0.16829960644231035 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09782735158990974 -0.012807176161187758 -0.011837109542379078 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
28 0.1481006145477295 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02592984238293667 -0.018431295607772673 0.16829960644231035 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09782735158990974 -0.012807176161187758 -0.011837109542379078 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
29 0.15333819389343262 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.028213247054975625 -0.01911217549698782 0.16829960644231035 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09782735158990974 -0.012807176161187758 -0.011837109542379078 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
30 0.1587538719177246 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.030503677960730433 -0.019827500458104802 0.16829960644231035 -0.2566568998245233 0.07012483601762931 -0.26452220300878654 0.0 0.0 -0.10584443108419635 -0.09782735158990974 -0.012807176161187758 -0.011837109542379078 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
