i t_now control_mode Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 phi_x phi_y x y dx dy theta_d_x theta_d_y inner_x_Kp inner_x_Ki inner_x_Kd inner_y_Kp inner_y_Ki inner_y_Kd
7456 40.289154052734375 2 0.5693808606748283 0.32118991260087265 0.0 -0.3028207536650554 -0.3134871491541555 0.6163079028192109 -0.007293003928389509 -0.01170828231308877 0.730015246388809 6.946566255906359 17.334859463557965 -16.775263272137284 0.8900973473784131 2.670292042135239 -3.5603893895136522 11.048250679822916 -2.4934172428023373 1.3368383322585728 -0.3017034863790828 0.3188052434973887 -0.0952046343891011 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7457 40.29444718360901 2 0.6775567480591163 0.344675504206149 0.0 -0.32496318177741373 -0.3907411772860701 0.7157043590634837 -0.010073509278163618 -0.017952162403926084 0.7297964566342726 6.950773746067417 17.347481934041138 -16.792093232781514 0.5325599849449729 2.396519932252378 -2.9290799171973516 11.057790306658829 -2.495777688283059 1.3379926271057183 -0.3019891002822501 0.230858969429093 -0.05712278063346732 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7458 40.29971241950989 2 0.7816080947975815 0.34958955210263065 0.0 -0.32959619056498396 -0.47338224174516724 0.8029784323101512 -0.012302757306775663 -0.024166485826588483 0.7297950730056593 6.953578739508122 17.36010440452431 -16.807520696705392 0.29563590226656533 1.773815413599392 -2.3650872181325227 11.066875665550176 -2.49735131860354 1.3390919555315712 -0.30217950955102835 0.2198656851705838 -0.03808185375564488 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7459 40.305110454559326 2 0.889869178912899 0.37293735392724014 0.0 -0.35160870922629195 -0.5507707874421988 0.9023794966684908 -0.014341654983775064 -0.030411841679347785 0.7299515742922158 6.954981236228475 17.368519384846426 -16.818740670468213 0.0 1.2819896895361849 -1.7947855653506588 11.07323541677412 -2.498400405483861 1.3398614854296684 -0.30230644906354714 0.15390597961943975 -0.025387902503759552 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7460 40.31041359901428 2 0.9778375107740336 0.3970763829254117 0.0 -0.3743672040207798 -0.611217382239487 0.9855845862602666 -0.016242318259504795 -0.036417251466889226 0.7300126832765543 6.954981236228475 17.375531868448192 -16.82855814751068 -0.2977067969332597 0.5954135938665194 -1.1908271877330388 11.078686632108928 -2.498924948924021 1.3405210824851803 -0.3023699188198065 0.13191941110237693 -0.012693951251874225 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7461 40.315770626068115 2 0.9536354189812533 0.38945199219240934 0.0 -0.3671788595011506 -0.5950506292991973 0.962229488800348 -0.017622620027823922 -0.04077850674817617 0.7300570619101713 6.953578739508122 17.378336861888894 -16.83416813439209 -0.8919843462068601 0.5946562308045734 -0.2973281154022867 11.081412239776332 -2.498924948924021 1.3408508810129363 -0.3023699188198065 0.06595970555118846 0.0 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7462 40.32108116149902 2 1.0 0.40417170313406015 0.0 -0.38105673606641344 -0.6259682128945192 1.0 -0.01888750523238958 -0.046045600193727325 0.7299318497772728 6.949371249347065 17.381141855329602 -16.835570631112446 -0.8222572134175804 0.0 -0.2740857378058601 11.082775043610036 -2.49708904688346 1.3410157802768143 -0.30214777467289866 0.032979852775616436 0.04442882938157089 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7463 40.326452016830444 2 1.0 0.382987913788774 0.0 -0.36108446793670784 -0.6359543469593719 0.9970388148960798 -0.019596107208033644 -0.05071061775085539 0.7296834119779694 6.945163759186007 17.381141855329602 -16.8369731278328 -1.3266143779347201 -0.530645751173888 0.265322875586944 11.083229311554604 -2.4957776882830593 1.341070746698107 -0.3019891002822502 0.010993284258553615 0.031734878129696664 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7464 40.331774950027466 2 1.0 0.3681190618821224 0.0 -0.34706597992117205 -0.6429635909671398 0.9900295708883118 -0.01995321912346957 -0.05514838089090687 0.7293979653777062 6.938151275584245 17.378336861888894 -16.835570631112446 -1.4819280646160042 -0.8891568387696025 0.5927712258464015 11.081866507720902 -2.4934172428023382 1.340905847434229 -0.3017034863790829 -0.032979852775616436 0.057122780633456216 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7465 40.3371422290802 2 1.0 0.34255750133878077 0.0 -0.3229663095239622 -0.6550134261657448 0.9779797356897071 -0.01989758175359505 -0.05952609998437314 0.7291381877570269 6.93113879198248 17.374129371727836 -16.832765637671738 -1.854453540322649 -1.324609671659035 0.7947658029954209 11.079595167998063 -2.4910567973216153 1.3406310153277656 -0.30141787247591545 -0.05496642129267926 0.05712278063348952 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
