i t_now control_mode Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 phi_x phi_y x y dx dy theta_d_x theta_d_y inner_x_Kp inner_x_Ki inner_x_Kd inner_y_Kp inner_y_Ki inner_y_Kd outer_x_Kp outer_x_Ki outer_x_Kd outer_y_Kp outer_y_Ki outer_y_Kd
1273 6.873270034790039 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.05062136799097061 0.03259708732366562 -0.03067958354949951 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1274 6.878565073013306 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.0523470938205719 0.033364079892635345 -0.03067958354949951 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1275 6.883786201477051 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.05368933081626892 0.03413107246160507 -0.030871331691741943 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1276 6.8890159130096436 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.055031560361385345 0.03470631688833237 -0.031063079833984375 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1277 6.894342660903931 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.05579855293035507 0.03508981317281723 -0.03125482797622681 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1278 6.899633407592773 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.0565655454993248 0.03528156131505966 -0.03144657611846924 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1279 6.9048590660095215 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.0565655454993248 0.03528156131505966 -0.03144657611846924 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1280 6.910064697265625 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.05733253061771393 0.03508981317281723 -0.03163832426071167 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1281 6.915876150131226 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.05733253061771393 0.0348980650305748 -0.0318300724029541 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1282 6.921376466751099 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.0571407824754715 0.034322820603847504 -0.03202182054519653 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
